epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.567,1.45893,4.25397,1.56769,0.18463,0.06566,0.03883,0.02604,1.08608,4.10899,1.30753,7.992e-05,7.992e-05,7.992e-05
2,986.966,1.26265,2.57054,1.37447,0.51602,0.09916,0.06062,0.04228,1.0052,3.61369,1.20176,0.000161555,0.000161555,0.000161555
3,1439.84,1.18639,2.16072,1.29887,0.43812,0.16582,0.09934,0.06921,1.13719,2.97297,1.28845,0.000241541,0.000241541,0.000241541
4,1898.19,1.17788,1.95974,1.29451,0.38113,0.20687,0.12994,0.09,1.05562,2.62937,1.25555,0.000319879,0.000319879,0.000319879
5,55922.2,1.15942,1.81245,1.30086,0.39247,0.16648,0.12726,0.0878,1.11442,2.68514,1.28705,0.000319813,0.000319813,0.000319813
6,57792.6,1.15528,1.79524,1.27184,0.45541,0.20249,0.13573,0.08994,1.177,2.58763,1.32709,0.000316517,0.000316517,0.000316517
7,58258.9,1.09951,1.61648,1.23263,0.4732,0.26812,0.18408,0.11825,1.15055,2.33896,1.32772,0.00031322,0.00031322,0.00031322
8,58696.5,1.09956,1.60255,1.24769,0.4269,0.22793,0.19383,0.13384,1.04515,2.23981,1.23666,0.000309923,0.000309923,0.000309923
9,59127.7,1.08083,1.53528,1.22873,0.4513,0.22452,0.19571,0.13804,1.01307,2.24311,1.20064,0.000306626,0.000306626,0.000306626
10,59558.1,1.0725,1.48464,1.23147,0.38777,0.21861,0.17222,0.12589,1.03982,2.27785,1.218,0.00030333,0.00030333,0.00030333
11,59988.4,1.0584,1.39456,1.21871,0.42588,0.30062,0.23762,0.1663,1.09427,1.98104,1.24634,0.000300033,0.000300033,0.000300033
12,60417.3,1.02678,1.35273,1.18385,0.36589,0.27609,0.22478,0.15802,1.02125,1.9516,1.20346,0.000296736,0.000296736,0.000296736
13,60845.4,1.03889,1.36203,1.1759,0.30233,0.28938,0.19812,0.14129,1.04256,2.12489,1.21995,0.00029344,0.00029344,0.00029344
14,61267.4,1.01544,1.29372,1.18207,0.3414,0.28238,0.23679,0.16917,1.0137,1.98182,1.21334,0.000290143,0.000290143,0.000290143
15,61700.1,0.99936,1.32521,1.16611,0.39748,0.33159,0.25886,0.17158,1.05298,1.93687,1.23691,0.000286846,0.000286846,0.000286846
16,62151,1.01366,1.30262,1.174,0.31348,0.21303,0.23081,0.164,1.0456,2.30997,1.23073,0.00028355,0.00028355,0.00028355
17,62583.3,0.97989,1.2676,1.16459,0.28986,0.2496,0.24898,0.18276,1.01408,2.28283,1.19223,0.000280253,0.000280253,0.000280253
18,63009.2,0.98457,1.18901,1.1463,0.31652,0.27219,0.26823,0.1961,1.01801,2.17457,1.21774,0.000276956,0.000276956,0.000276956
19,63431.7,0.99885,1.20873,1.17029,0.37734,0.39615,0.32773,0.2364,1.05759,1.92452,1.26084,0.000273659,0.000273659,0.000273659
20,63852.8,0.95059,1.13671,1.14338,0.41734,0.48505,0.37981,0.27666,1.03638,1.54927,1.21327,0.000270363,0.000270363,0.000270363
21,64275.2,0.98763,1.21655,1.15763,0.3714,0.40199,0.36749,0.26825,1.00237,1.74216,1.19308,0.000267066,0.000267066,0.000267066
22,64718.3,0.93415,1.11729,1.11996,0.33263,0.47381,0.38111,0.26661,1.01359,1.66994,1.1973,0.000263769,0.000263769,0.000263769
23,65145.1,0.93109,1.11828,1.14009,0.3248,0.40499,0.3801,0.27188,0.98664,1.70803,1.19778,0.000260473,0.000260473,0.000260473
24,65576.1,0.92173,1.10255,1.11508,0.35091,0.42232,0.37481,0.25413,1.01867,1.90766,1.22321,0.000257176,0.000257176,0.000257176
25,66010,0.90916,1.08109,1.12565,0.39937,0.39399,0.38402,0.27552,1.02055,1.90591,1.22797,0.000253879,0.000253879,0.000253879
26,66437.3,0.91687,1.09893,1.1385,0.35318,0.47281,0.40898,0.29402,1.04215,1.73637,1.23054,0.000250583,0.000250583,0.000250583
27,66872.4,0.9069,1.07842,1.13071,0.38924,0.44592,0.45065,0.32593,0.99463,1.69121,1.2078,0.000247286,0.000247286,0.000247286
28,67301.6,0.88803,1.04249,1.10327,0.52899,0.43054,0.44832,0.33336,0.95977,1.545,1.18968,0.000243989,0.000243989,0.000243989
29,67724.6,0.8906,1.03841,1.1079,0.36622,0.46283,0.44003,0.32979,1.03313,1.63045,1.22401,0.000240692,0.000240692,0.000240692
30,68146.4,0.8922,1.07003,1.09933,0.35169,0.49405,0.42711,0.31404,0.99548,1.62425,1.18887,0.000237396,0.000237396,0.000237396
31,68568.6,0.86136,1.03409,1.08433,0.34271,0.44588,0.41011,0.30699,0.99741,1.83538,1.19939,0.000234099,0.000234099,0.000234099
32,68991.3,0.84478,0.98256,1.06549,0.36493,0.50407,0.43796,0.31367,0.96214,1.78345,1.16716,0.000230802,0.000230802,0.000230802
33,69418.9,0.84437,0.98456,1.07869,0.40944,0.51245,0.43299,0.30495,0.98661,1.72477,1.19257,0.000227506,0.000227506,0.000227506
34,69843.9,0.85102,0.99796,1.08367,0.35441,0.49428,0.46601,0.34291,0.97276,1.62148,1.17527,0.000224209,0.000224209,0.000224209
35,70266.6,0.84253,0.96204,1.07321,0.40856,0.47037,0.47817,0.34509,1.0145,1.60086,1.21472,0.000220912,0.000220912,0.000220912
36,70689.4,0.82711,0.94666,1.06945,0.48187,0.49391,0.4926,0.36152,0.95561,1.58683,1.16074,0.000217616,0.000217616,0.000217616
37,71113.2,0.83125,0.93147,1.06413,0.3441,0.53886,0.45754,0.32335,0.98208,1.58954,1.17461,0.000214319,0.000214319,0.000214319
38,71534.1,0.7939,0.92137,1.06409,0.34848,0.55869,0.4556,0.31993,0.98161,1.55162,1.1778,0.000211022,0.000211022,0.000211022
39,71955.8,0.79299,0.91681,1.0657,0.36101,0.45416,0.44377,0.33238,0.92121,1.65726,1.15062,0.000207725,0.000207725,0.000207725
40,72376.1,0.82111,0.94502,1.07307,0.45765,0.56913,0.50415,0.37237,0.98576,1.4604,1.18488,0.000204429,0.000204429,0.000204429
41,72810.3,0.78834,0.92299,1.04835,0.45476,0.54744,0.51252,0.36426,0.9673,1.315,1.16323,0.000201132,0.000201132,0.000201132
42,73245.7,0.79879,0.91578,1.05121,0.47631,0.48128,0.5047,0.37146,0.9529,1.37744,1.14527,0.000197835,0.000197835,0.000197835
43,73674.1,0.77518,0.9059,1.04395,0.45543,0.52063,0.50421,0.36578,0.93904,1.41642,1.13194,0.000194539,0.000194539,0.000194539
44,74098.3,0.77228,0.87782,1.02242,0.40949,0.56955,0.53185,0.39267,0.94391,1.38075,1.13462,0.000191242,0.000191242,0.000191242
45,74525.3,0.79324,0.89024,1.03798,0.4678,0.5257,0.51113,0.38541,0.92517,1.34668,1.12139,0.000187945,0.000187945,0.000187945
